NOME,INÍCIO,PAÍS,NÍVEL,SETOR,PÚBLICO,OBJETIVO,LING,DEV,ORG,ATIVO
Bot_01,2017,GER,mun.,gov.,todos,e-serv,DE,públ.,públ.,SIM
Bot_02,2016,USA,nac.,SFL,todos,e-part,EN,priv.,SFL,-
Bot_03,2016,USA,nac.,SFL,todos,e-part,EN,priv.,SFL,-
Bot_04,2015,FRA,nac.,gov.,todos,e-serv,FR,priv.,públ.,SIM
Bot_05,2015,FRA,nac.,gov.,todos,e-serv,FR,priv.,públ.,SIM
Bot_06,2014,POL,reg.,gov.,todos,e-serv,PL,priv.,públ.,SIM
Bot_07,2014,ARG,mun.,gov.,todos,e-serv,ES,priv.,públ.,SIM
Bot_08,2013,FRA,nac.,gov.,todos,e-serv,FR,priv.,públ.,SIM
Bot_09,2013,SIN,nac.,gov.,todos,e-serv,EN,priv.,públ.,SIM
Bot_10,2010,FRA,nac.,gov.,todos,e-serv,FR,priv.,públ.,SIM
Bot_11,2013,FRA,nac.,gov.,todos,e-serv,FR,priv.,públ.,SIM
Bot_12,2013,ARG,mun.,gov.,todos,e-serv,ES,priv.,públ.,SIM
Bot_13,2012,FRA,nac.,gov.,todos,e-serv,FR,priv.,públ.,SIM
Bot_14,2012,ARG,int.,ONG,todos,e-serv,ES,priv.,SFL.,SIM
Bot_15,2012,POL,mun.,gov.,todos,e-serv,PL,priv.,públ.,SIM
Bot_16,2012,POL,mun.,gov.,todos,e-serv,PL,priv.,públ.,SIM
Bot_17,2012,POL,reg.,gov.,todos,e-serv,PL,priv.,públ.,SIM
Bot_18,2012,POL,nac.,gov.,todos,e-serv,PL,priv.,públ.,SIM
Bot_19,2012,POL,reg.,gov.,todos,e-serv,PL,priv.,públ.,SIM
Bot_20,2012,POL,mun.,gov.,todos,e-serv,PL,priv.,públ.,SIM
Bot_21,2012,FRA,nac.,gov.,todos,e-serv,FR,priv.,públ.,SIM
Bot_22,2012,ESP,reg.,gov.,todos,e-serv,ES,priv.,públ.,NÃO
Bot_23,2012,USA,nac.,SFL,todos,e-part,EN,priv.,priv.,SIM
Bot_24,2011,GBR,nac.,gov.,todos,e-serv,EN,priv.,públ.,NÃO
Bot_25,2011,POL,nac.,gov.,todos,e-serv,PL,priv.,públ.,SIM
Bot_26,2011,ARG,reg.,gov.,todos,e-serv,ES,priv.,públ.,NÃO
Bot_27,2011,ESP,reg.,gov.,adm.,e-serv,ES,priv.,públ.,SIM
Bot_28,2010,POL,nac.,SFL,todos,e-part,PL,priv.,SFL,SIM
Bot_29,2010,POR,nac.,gov.,todos,e-serv,PT,priv.,públ.,SIM
Bot_30,2009,FRA,nac.,gov.,esp.,e-serv,FR,priv.,públ.,SIM
